Frame,Visibility,X,Y
0,1,666,986
1,1,670,995
2,1,539,802
3,1,484,683
4,1,450,593
5,1,425,550
6,1,462,413
7,1,523,464
8,1,561,371
9,1,548,434
10,1,544,411
11,1,530,348
12,1,528,353
13,1,532,342
14,1,532,341
15,1,530,337
16,1,527,333
17,1,523,328
18,1,514,324
19,1,514,324
20,1,509,320
21,1,503,315
22,1,486,311
23,1,479,311
24,1,479,306
25,1,459,302
26,1,448,297
27,1,531,326
28,1,593,359
29,1,632,441
30,1,675,515
31,1,689,511
32,1,700,511
33,1,708,511
34,1,586,681
35,1,133,453
36,1,130,453
37,1,123,453
38,1,120,453
39,1,115,448
40,1,109,448
41,1,99,448
42,1,198,351
43,1,196,351
44,1,78,444
45,1,68,444
46,1,531,440
47,1,520,435
48,1,520,435
49,1,511,431
50,1,118,333
51,1,485,431
52,1,473,431
53,1,476,435
54,1,481,446
55,1,490,419
56,1,518,488
57,1,546,476
58,1,562,499
59,1,570,464
60,1,580,455
61,1,584,462
62,1,572,457
63,1,603,435
64,1,478,395
65,1,486,391
66,1,496,377
67,1,499,377
68,1,514,382
69,1,520,386
70,1,518,377
71,1,518,377
72,1,518,377
73,1,517,377
74,1,509,377
75,1,503,377
76,1,496,377
77,1,496,377
78,1,486,382
79,1,481,382
80,1,478,382
81,1,473,382
82,1,469,382
83,1,465,382
84,1,461,382
85,1,457,386
86,1,453,386
87,1,450,386
88,1,445,386
89,1,441,386
90,1,437,395
91,1,427,391
92,1,421,391
93,1,412,386
94,1,388,382
95,1,372,377
96,1,372,377
97,1,358,373
98,1,324,368
99,1,309,368
100,1,293,373
101,1,295,368
102,1,266,373
103,1,257,373
104,1,247,377
105,1,240,382
106,1,233,382
107,1,232,382
108,1,226,382
109,1,220,382
110,1,217,382
111,1,215,386
112,1,214,388
113,1,213,395
114,1,215,390
115,1,218,385
116,1,216,390
117,1,215,395
118,1,216,404
119,1,216,408
120,1,215,408
121,1,215,408
122,1,215,413
123,1,338,436
124,1,399,421
125,1,451,415
126,1,474,413
127,1,489,428
128,1,499,440
129,1,503,448
130,1,514,475
131,1,523,506
132,1,532,528
133,1,528,559
134,1,514,570
135,1,485,586
136,1,451,586
137,1,401,545
138,1,360,520
139,1,314,474
140,1,279,449
141,1,236,415
142,1,212,404
143,1,204,395
144,1,198,391
145,1,198,386
146,1,182,373
147,1,172,373
148,1,164,368
149,1,156,364
150,1,149,364
151,1,139,364
152,1,129,360
153,1,119,360
154,1,563,275
155,1,102,355
156,1,98,355
157,1,88,351
158,1,74,351
159,1,68,346
160,1,59,342
161,1,47,337
162,1,39,337
163,1,114,365
164,1,119,384
165,1,142,360
166,1,173,375
167,1,211,442
168,1,245,408
169,1,284,376
170,1,320,364
171,1,339,337
172,1,343,317
173,1,343,317
174,1,343,317
175,1,343,317
176,1,343,317
177,1,343,317
178,1,343,317
179,1,343,317
180,1,343,317
181,1,343,317
182,1,343,317
183,1,343,317
184,1,343,317
185,1,343,317
186,1,343,317
187,1,343,317
188,1,343,317
189,1,343,317
190,1,343,317
191,1,343,317
192,1,343,317
193,1,343,317
194,1,343,317
195,1,343,317
196,1,343,317
197,1,343,317
198,1,343,317
199,1,343,317
200,1,357,392
201,1,361,425
202,1,363,483
203,1,359,530
204,1,361,565
205,1,359,579
206,1,361,591
207,1,364,612
208,1,365,616
209,1,368,617
210,1,367,612
211,1,364,608
212,1,364,590
213,1,364,567
214,1,364,548
215,1,359,514
216,1,356,462
217,1,360,416
218,1,346,358
219,1,343,317
220,1,343,317
221,1,343,317
222,1,343,317
223,1,343,317
224,1,343,317
225,1,343,317
226,1,343,317
227,1,343,317
228,1,343,317
229,1,343,317
230,1,366,372
231,1,382,397
232,1,394,445
233,1,404,543
234,1,407,589
235,1,412,615
236,1,422,635
237,1,427,615
238,1,432,585
239,1,441,542
240,1,450,502
241,1,458,466
242,1,470,413
243,1,472,413
244,1,479,386
245,1,483,368
246,1,495,337
247,1,496,328
248,1,499,328
249,1,503,320
250,1,511,306
251,1,514,302
252,1,518,297
253,1,518,302
254,1,525,297
255,1,530,302
256,1,532,306
257,1,535,311
258,1,538,315
259,1,541,320
260,1,544,328
261,1,548,337
262,1,551,346
263,1,554,360
264,1,555,368
265,1,558,382
266,1,627,582
267,1,628,582
268,1,632,591
269,1,628,630
270,1,637,653
271,1,642,675
272,1,642,675
273,1,649,702
274,1,658,755
275,1,662,782
276,1,631,789
277,1,563,708
278,1,496,586
279,1,466,546
280,1,427,533
281,1,406,515
282,1,385,497
283,1,367,484
284,1,351,475
285,1,337,466
286,1,326,462
287,1,313,457
288,1,302,453
289,1,293,453
290,1,277,453
291,1,277,457
292,1,268,462
293,1,260,462
294,1,248,475
295,1,243,480
296,1,243,484
297,1,236,493
298,1,226,511
299,1,216,528
300,1,206,542
301,1,206,542
302,1,188,564
303,1,182,577
304,1,175,586
305,1,171,600
306,1,165,613
307,1,161,622
308,1,157,635
309,1,153,648
310,1,161,622
311,1,185,613
312,1,224,586
313,1,258,576
314,1,283,567
315,1,307,564
316,1,323,564
317,1,336,560
318,1,357,560
319,1,364,564
