Frame,Visibility,X,Y
0,1,666,986
1,1,670,995
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,530,337
16,1,527,333
17,1,523,328
18,1,514,324
19,1,514,324
20,1,509,320
21,1,503,315
22,1,487,311
23,1,479,311
24,1,479,306
25,1,459,302
26,1,448,297
27,0,0,0
28,0,0,0
29,0,0,0
30,1,675,515
31,1,689,511
32,1,700,511
33,1,708,511
34,0,0,0
35,1,133,453
36,1,130,453
37,1,123,453
38,1,120,453
39,1,115,448
40,1,109,448
41,1,99,448
42,1,198,351
43,1,196,351
44,1,78,444
45,1,68,444
46,1,531,440
47,1,520,435
48,1,520,435
49,1,511,431
50,1,118,333
51,1,485,431
52,1,473,431
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,572,457
63,1,603,435
64,1,478,395
65,1,487,391
66,1,497,377
67,1,499,377
68,1,514,382
69,1,520,386
70,1,518,377
71,1,518,377
72,1,518,377
73,1,517,377
74,1,509,377
75,1,503,377
76,1,497,377
77,1,496,377
78,1,487,382
79,1,482,382
80,1,478,382
81,1,473,382
82,1,469,382
83,1,465,382
84,1,461,382
85,1,457,386
86,1,454,386
87,1,450,386
88,1,445,386
89,1,441,386
90,1,437,395
91,1,428,391
92,1,421,391
93,1,412,386
94,1,388,382
95,1,372,377
96,1,372,377
97,1,358,373
98,1,324,368
99,1,309,368
100,1,293,373
101,1,295,368
102,1,267,373
103,1,257,373
104,1,247,377
105,1,240,382
106,1,234,382
107,1,232,382
108,1,226,382
109,1,220,382
110,1,217,382
111,1,215,386
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,1,215,395
118,1,216,404
119,1,216,408
120,1,215,408
121,1,215,408
122,1,215,413
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,1,499,440
129,1,503,448
130,1,514,475
131,1,523,506
132,1,532,528
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,1,213,404
143,1,205,395
144,1,198,391
145,1,198,386
146,1,182,373
147,1,172,373
148,1,164,368
149,1,156,364
150,1,149,364
151,1,139,364
152,1,129,360
153,1,119,360
154,1,563,275
155,1,102,355
156,1,98,355
157,1,88,351
158,1,74,351
159,1,68,346
160,1,59,342
161,1,47,337
162,1,39,337
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,1,368,617
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,1,441,542
240,1,450,502
241,1,458,466
242,1,471,413
243,1,472,413
244,1,479,386
245,1,483,368
246,1,495,337
247,1,497,328
248,1,499,328
249,1,503,320
250,1,511,306
251,1,514,302
252,1,518,297
253,1,518,302
254,1,525,297
255,1,530,302
256,1,532,306
257,1,535,311
258,1,538,315
259,1,541,320
260,1,544,328
261,1,548,337
262,1,551,346
263,1,554,360
264,1,555,368
265,1,558,382
266,1,627,582
267,1,628,582
268,1,632,591
269,0,0,0
270,1,637,653
271,1,642,675
272,1,642,675
273,1,649,702
274,1,658,755
275,1,662,782
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,1,427,533
281,1,407,515
282,1,385,497
283,1,367,484
284,1,351,475
285,1,337,466
286,1,326,462
287,1,313,457
288,1,302,453
289,1,293,453
290,1,277,453
291,1,277,457
292,1,268,462
293,1,260,462
294,1,248,475
295,1,243,480
296,1,243,484
297,1,236,493
298,1,226,511
299,1,216,528
300,1,206,542
301,1,206,542
302,1,188,564
303,1,182,577
304,1,175,586
305,1,171,600
306,1,165,613
307,1,161,622
308,1,157,635
309,1,153,648
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,1,307,564
316,1,323,564
317,1,336,560
318,1,357,560
319,1,365,564
